id_acolhimento;IBGE_sede;Região_sede;UF_sede;Municipio_sede;area_sede;Pop_Total2010_sede;Porte_pop2010_sede;q10_IBGE7;q10_IBGE;q10_UF;q10;q10_velha;q10_area;q10_Pop_Total2010;q10_Pop_Urbana2010;q10_Pop_Rural2010;q10_Porte_pop2010
3130903305019;313090;Região Sudeste;MG;Inhapim;847,84;24294;Pequeno II;3162609;316260;MG;São João do Oriente;São João do Oriente;120,24;7874;6325;1549;Pequeno I
3130903305019;313090;Região Sudeste;MG;Inhapim;847,84;24294;Pequeno II;3160959;316095;MG;São Domingos das Dores;São Domingos das Dores;61,16;5408;2578;2830;Pequeno I
3130903305019;313090;Região Sudeste;MG;Inhapim;847,84;24294;Pequeno II;3129301;312930;MG;Iapu;Iapu;337,39;10315;7164;3151;Pequeno I
4310203300478;431020;Região Sul;RS;Ijuí;689,12;78915;Médio;4305009;430500;RS;Catuípe;CATUIPE;583,24;9323;5998;3325;Pequeno I
4310203301788;431020;Região Sul;RS;Ijuí;689,12;78915;Médio;4300208;430020;RS;Ajuricaba;AJURICABA;323,24;7255;4108;3147;Pequeno I
4310203302271;431020;Região Sul;RS;Ijuí;689,12;78915;Médio;4317806;431780;RS;Santo Augusto;SANTO AUGUSTO;468,02;13968;11380;2588;Pequeno I
4310203302271;431020;Região Sul;RS;Ijuí;689,12;78915;Médio;4306734;430673;RS;Doutor Maurício Cardoso;DR MAURICIO CARDOSO;256,32;5313;2619;2694;Pequeno I
3519903303618;351990;Região Sudeste;SP;Iepê;596,07;7628;Pequeno I;3532157;353215;SP;Nantes;Nantes;285,42;2707;2431;276;Pequeno I
3519903304090;351990;Região Sudeste;SP;Iepê;596,07;7628;Pequeno I;3532157;353215;SP;Nantes;Nantes;285,42;2707;2431;276;Pequeno I
3519603305311;351960;Região Sudeste;SP;Ibitinga;688,68;53158;Médio;3552700;355270;SP;Tabatinga;Tabatinga;366,46;14686;12578;2108;Pequeno I
3519603305311;351960;Região Sudeste;SP;Ibitinga;688,68;53158;Médio;3507407;350740;SP;Borborema;Borborema;552,6;14529;13095;1434;Pequeno I
4310003301630;431000;Região Sul;RS;Ibirubá;611,81;19310;Pequeno I;4315354;431535;RS;Quinze de Novembro;Quinze de Novembro;223,64;3653;1961;1692;Pequeno I
3129803301404;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3165537;316553;MG;Sarzedo;Sarzedo;61,89;25814;25532;282;Pequeno II
3129803301404;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3140159;314015;MG;Mário Campos;Mario Campos;35,16;13192;12458;734;Pequeno I
3129803302176;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3165537;316553;MG;Sarzedo;Sarzedo;61,89;25814;25532;282;Pequeno II
3129803302176;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3140159;314015;MG;Mário Campos;Mario Campos;35,16;13192;12458;734;Pequeno I
3129803304757;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3165537;316553;MG;Sarzedo;Sarzedo;61,89;25814;25532;282;Pequeno II
3129803304757;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3140159;314015;MG;Mário Campos;Mario Campos;35,16;13192;12458;734;Pequeno I
3129803305647;312980;Região Sudeste;MG;Ibirité;73,03;158954;Grande;3140159;314015;MG;Mário Campos;Mário Campos;35,16;13192;12458;734;Pequeno I
3519503304637;351950;Região Sudeste;SP;Ibirarema;228,45;6725;Pequeno I;3539707;353970;SP;Platina;Platina;327,83;3192;2513;679;Pequeno I
3519503304637;351950;Região Sudeste;SP;Ibirarema;228,45;6725;Pequeno I;3535309;353530;SP;Palmital;Palmital;549,04;21186;19427;1759;Pequeno II
3519503304637;351950;Região Sudeste;SP;Ibirarema;228,45;6725;Pequeno I;3509809;350980;SP;Campos Novos Paulista;Campos Novos Paulista;484,58;4539;3528;1011;Pequeno I
2606603305979;260660;Região Nordeste;PE;Ibimirim;2033,59;26954;Pequeno II;2601201;260120;PE;Arcoverde;Arcoverde;353,38;68793;62668;6125;Médio
4109703303132;410970;Região Sul;PR;Ibaiti;896,85;28751;Pequeno II;4124301;412430;PR;Santo Antônio do Paraíso;Santo Antonio do Paraiso;165,9;2408;1822;586;Pequeno I
4109703303132;410970;Região Sul;PR;Ibaiti;896,85;28751;Pequeno II;4112900;411290;PR;Jundiaí do Sul;Jndiai do Sul;320,82;3433;1976;1457;Pequeno I
4109703303132;410970;Região Sul;PR;Ibaiti;896,85;28751;Pequeno II;4106001;410600;PR;Congonhinhas;Congonhinhas;535,96;8279;4834;3445;Pequeno I
4109703303132;410970;Região Sul;PR;Ibaiti;896,85;28751;Pequeno II;4106100;410610;PR;Conselheiro Mairinck;Conelheiro Mairink;204,71;3636;2515;1121;Pequeno I
5209803302844;520980;Região Centro-Oeste;GO;Hidrolina;580,39;4029;Pequeno I;5216908;521690;GO;Pilar de Goiás;Pilar de Goiás;906,65;2773;1201;1572;Pequeno I
5209803302844;520980;Região Centro-Oeste;GO;Hidrolina;580,39;4029;Pequeno I;5210901;521090;GO;Itapaci;Itapaci;956,13;18458;16675;1783;Pequeno I
4206703302256;420670;Região Sul;SC;Herval d'Oeste;222,41;21239;Pequeno II;4205209;420520;SC;Erval Velho;ERVAL VELHO;207,69;4352;2842;1510;Pequeno I
